label,num_vert,max_degree,max_indegree,max_values,nodes,method,kind,query_type,filename,target,observed,barren,interval_result,time
vs_n8_mID2_mD6_mV4_nV2-1,2,6,2,4,8,cve_ch5,sing,cond,./networks/vmodel/vmodel-sing_n8_mID2_mD6_mV4_nV2-1.uai,0,7,0,0.20960855994084893 0.4512027944458432 0.11493000245086996 0.46819621530236305 0.08091316208439402 0.6753678074082035,231.0
vm_n8_mID2_mD6_mV4_nV2-1,2,6,2,4,8,cve_ch5,mult,marg,./networks/vmodel/vmodel-mult_n8_mID2_mD6_mV4_nV2-1.uai,2,,4,0.33842171804121873 0.70062976303525 0.29937023696475 0.6615782819587812,109.0
vm_n8_mID2_mD6_mV4_nV2-1,2,6,2,4,8,cve_ch5,mult,cond,./networks/vmodel/vmodel-mult_n8_mID2_mD6_mV4_nV2-1.uai,1,5 4 2,0,,
vs_n9_mID2_mD6_mV4_nV2-1,2,6,2,4,9,cve_ch10,sing,marg,./networks/vmodel/vmodel-sing_n9_mID2_mD6_mV4_nV2-1.uai,8,,0,0.24491244999584033 0.8905682655811149 0.10943173441888505 0.7550875500041596,157.0
vs_n9_mID2_mD6_mV4_nV2-1,2,6,2,4,9,cve_ch10,sing,cond,./networks/vmodel/vmodel-sing_n9_mID2_mD6_mV4_nV2-1.uai,0,8,0,0.0059904475318280715 0.26342114452601617 0.39396554953953306 0.6584847728104462 0.31290458664687587 0.3506369393983046,418.0
vm_n9_mID2_mD6_mV4_nV2-1,2,6,2,4,9,cve_ch10,mult,marg,./networks/vmodel/vmodel-mult_n9_mID2_mD6_mV4_nV2-1.uai,0,,3,0.1607318791968239 0.557627072493092 0.05210507529921135 0.5368148507056668 0.041005300769982066 0.2093752386545305 0.05770106628342527 0.5756896586779405,158.0
vm_n9_mID2_mD6_mV4_nV2-1,2,6,2,4,9,cve_ch10,mult,cond,./networks/vmodel/vmodel-mult_n9_mID2_mD6_mV4_nV2-1.uai,1,7 3 0,0,,
vs_n9_mID2_mD6_mV4_nV2-1,2,6,2,4,9,cve_ch5,sing,marg,./networks/vmodel/vmodel-sing_n9_mID2_mD6_mV4_nV2-1.uai,8,,0,0.2589301323300353 0.8847304678296984 0.11526953217030154 0.7410698676699647,113.0
vs_n9_mID2_mD6_mV4_nV2-1,2,6,2,4,9,cve_ch5,sing,cond,./networks/vmodel/vmodel-sing_n9_mID2_mD6_mV4_nV2-1.uai,0,8,0,0.005998905669424897 0.26003697067386516 0.4103041082791424 0.6522420318428667 0.3286154460091871 0.3427645301858973,244.0
vm_n9_mID2_mD6_mV4_nV2-1,2,6,2,4,9,cve_ch5,mult,marg,./networks/vmodel/vmodel-mult_n9_mID2_mD6_mV4_nV2-1.uai,0,,3,0.11041391175516406 0.5593320869646492 0.1051242941048504 0.4873230450469097 0.04853030157322051 0.22975127549204252 0.05769762887786439 0.5547105186479431,111.0
vm_n9_mID2_mD6_mV4_nV2-1,2,6,2,4,9,cve_ch5,mult,cond,./networks/vmodel/vmodel-mult_n9_mID2_mD6_mV4_nV2-1.uai,1,7 3 0,0,,
vs_n10_mID2_mD6_mV4_nV2-1,2,6,2,4,10,cve_ch10,sing,marg,./networks/vmodel/vmodel-sing_n10_mID2_mD6_mV4_nV2-1.uai,9,,0,0.157820847087432 0.5697618627793053 0.11356889572049031 0.5786069528431879 0.18140399058981735 0.4802965517607287,214.0
vs_n10_mID2_mD6_mV4_nV2-1,2,6,2,4,10,cve_ch10,sing,cond,./networks/vmodel/vmodel-sing_n10_mID2_mD6_mV4_nV2-1.uai,0,9,0,0.0049966214298453274 0.134998042919439 0.865001957080561 0.9950033785701548,321.0
vm_n10_mID2_mD6_mV4_nV2-1,2,6,2,4,10,cve_ch10,mult,marg,./networks/vmodel/vmodel-mult_n10_mID2_mD6_mV4_nV2-1.uai,0,,4,,
vm_n10_mID2_mD6_mV4_nV2-1,2,6,2,4,10,cve_ch10,mult,cond,./networks/vmodel/vmodel-mult_n10_mID2_mD6_mV4_nV2-1.uai,2,6 4 3 0,0,,
vs_n10_mID2_mD6_mV4_nV2-1,2,6,2,4,10,cve_ch5,sing,marg,./networks/vmodel/vmodel-sing_n10_mID2_mD6_mV4_nV2-1.uai,9,,0,0.164536953019853 0.5349829142506373 0.17286431876120434 0.5704369915897282 0.1814583894022614 0.43546388528109664,127.0
vs_n10_mID2_mD6_mV4_nV2-1,2,6,2,4,10,cve_ch5,sing,cond,./networks/vmodel/vmodel-sing_n10_mID2_mD6_mV4_nV2-1.uai,0,9,0,0.004999701875957929 0.13499747483094235 0.8650025251690576 0.9950002981240421,191.0
vm_n10_mID2_mD6_mV4_nV2-1,2,6,2,4,10,cve_ch5,mult,marg,./networks/vmodel/vmodel-mult_n10_mID2_mD6_mV4_nV2-1.uai,0,,4,0.13359048866250925 0.4938806368463278 0.07680499584634311 0.21802694492838862 0.4217126996573192 0.6940596525424538,4095.0
vm_n10_mID2_mD6_mV4_nV2-1,2,6,2,4,10,cve_ch5,mult,cond,./networks/vmodel/vmodel-mult_n10_mID2_mD6_mV4_nV2-1.uai,2,6 4 3 0,0,,
vs_n4_mID4_mD6_mV4_nV2-1,2,6,4,4,4,cve_ch10,sing,marg,./networks/vmodel/vmodel-sing_n4_mID4_mD6_mV4_nV2-1.uai,3,,0,0.057205184834000014 0.758882888789 0.05425339853200001 0.23103169400600002 0.13704869163000002 0.8656491910740001,129.0
vs_n4_mID4_mD6_mV4_nV2-1,2,6,4,4,4,cve_ch10,sing,cond,./networks/vmodel/vmodel-sing_n4_mID4_mD6_mV4_nV2-1.uai,0,3,0,0.1650839726064972 0.5469556847049161 0.15701982933747302 0.8229016532214205 0.007067156489595327 0.6182328988460939,307.0
vm_n4_mID4_mD6_mV4_nV2-1,2,6,4,4,4,cve_ch10,mult,marg,./networks/vmodel/vmodel-mult_n4_mID4_mD6_mV4_nV2-1.uai,2,,0,0.25342670080100005 0.90983219216 0.09016780784 0.7465732991990002,86.0
vm_n4_mID4_mD6_mV4_nV2-1,2,6,4,4,4,cve_ch10,mult,cond,./networks/vmodel/vmodel-mult_n4_mID4_mD6_mV4_nV2-1.uai,1,2,0,0.14240253701451663 0.9514308250193207 0.04856917498067922 0.8575974629854833,111.0
vs_n4_mID4_mD6_mV4_nV2-1,2,6,4,4,4,cve_ch5,sing,marg,./networks/vmodel/vmodel-sing_n4_mID4_mD6_mV4_nV2-1.uai,3,,0,0.08685286956850001 0.681294279566 0.05449900185150001 0.215755724486 0.23780324870550001 0.8148939605295,103.0
vs_n4_mID4_mD6_mV4_nV2-1,2,6,4,4,4,cve_ch5,sing,cond,./networks/vmodel/vmodel-sing_n4_mID4_mD6_mV4_nV2-1.uai,0,3,0,0.19807639660957646 0.44318338852837513 0.21045417356211424 0.7891757404608907 0.009000397233022856 0.5525549994615357,214.0
vm_n4_mID4_mD6_mV4_nV2-1,2,6,4,4,4,cve_ch5,mult,marg,./networks/vmodel/vmodel-mult_n4_mID4_mD6_mV4_nV2-1.uai,2,,0,0.2590914493205 0.90570756312 0.09429243688000001 0.7409085506795,73.0
vm_n4_mID4_mD6_mV4_nV2-1,2,6,4,4,4,cve_ch5,mult,cond,./networks/vmodel/vmodel-mult_n4_mID4_mD6_mV4_nV2-1.uai,1,2,0,0.16351059515899355 0.9485036775431881 0.051496322456811995 0.8364894048410064,104.0
vs_n5_mID4_mD6_mV4_nV2-1,2,6,4,4,5,cve_ch10,sing,marg,./networks/vmodel/vmodel-sing_n5_mID4_mD6_mV4_nV2-1.uai,4,,0,0.11714419245043498 0.49702866768880616 0.08593377708190036 0.7435792993573 0.032615899533534255 0.2046136682215525 0.04514096815424799 0.4601920250203711,202.0
